name,product_url,postal_code,city
Athenaeum Boekhandel & Nieuwscentrum,https://athenaeumscheltema.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1012 XA,Amsterdam
Athenaeum Boekhandel Zuidoost,https://athenaeumscheltema.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1102 ML,Amsterdam
Boekhandel het Martyrium,https://athenaeumscheltema.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1071 BH,Amsterdam
Boekhandel Scheltema,https://athenaeumscheltema.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1012 KK,Amsterdam
Athenaeum Boekhandel Haarlem,https://athenaeumscheltema.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2011 GT,Haarlem
Paagman Gouda,https://www.paagman.nl/product/82702148/zanger-ronald-zingt-de-blues-door-walter-van-den-berg,2801 KE,Gouda
Paagman Den Haag,https://www.paagman.nl/product/82702148/zanger-ronald-zingt-de-blues-door-walter-van-den-berg,2582 CB,Den Haag
Paagman Delft,https://www.paagman.nl/product/82702148/zanger-ronald-zingt-de-blues-door-walter-van-den-berg,2611 JD,Delft
Van der Meulen's Boekhandel,https://libris.nl/vandermeulen/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1811 JD,Alkmaar
Boekhandel Van den Brink,https://libris.nl/vandenbrink/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9163 GZ,Ameland
Boekhandel Veenendaal,https://libris.nl/veenendaal/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3811 AB,Amersfoort
De Algemene Boekhandel,https://libris.nl/dealgemeneboekhandel/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3817 KE,Amersfoort
Boekhandel Libris Venstra,https://www.venstra.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1181 ZM,Amstelveen
Boekhandel Mulder,https://libris.nl/boekhandel-mulder/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1071 JH,Amsterdam
Boekhandel van Noord,https://libris.nl/boekhandelvannoord/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1025 EW,Amsterdam
Boekhandel Van Rossum,https://athenaeumscheltema.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1077 JH,Amsterdam
Boekholt A la Carte,https://libris.nl/boekholtboekhandels/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1011 HB,Amsterdam
De Amsterdamse Boekhandel,https://libris.nl/de-amsterdamse-boekhandel/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1081 AC,Amsterdam
De Dolfijn,https://libris.nl/boekholtboekhandels/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1013 JG,Amsterdam
IJBURG BOEKEN,https://libris.nl/ijburgboeken/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1087 BS,Amsterdam
Island Boekholt,https://libris.nl/boekholtboekhandels/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1015 LT,Amsterdam
Pantheon Boekholt,https://libris.nl/boekholtboekhandels/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1011 HB,Amsterdam
Relay Amsterdam CS IJ-passage,https://libris.nl/relay/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1012 AB,Amsterdam
Relay Amsterdam CS Middentunnel,https://libris.nl/relay/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1012 AB,Amsterdam
Stad Leest,https://libris.nl/antwerpen-stadleest/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2000,Antwerpen
Nawijn & Polak,https://libris.nl/nawijn-polak/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7311 LR,Apeldoorn
Primera BLZ Westra Kerschoten,https://libris.nl/boekhandel-westra/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7316 HL,Apeldoorn
Primera BLZ Westra Orden,https://libris.nl/boekhandel-westra/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7312 NL,Apeldoorn
Van der Velde Boeken Assen,https://www.vanderveldeboeken.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9401 JL,Assen
Primera Boekhandel Avenhorn,https://libris.nl/boekhandel-avenhorn/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1633 DT,Avenhorn
Boekhandel Den Boer,https://libris.nl/denboer/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3743 BC,Baarn
Boekhandel Jaspers,https://libris.nl/boekhandeljaspers/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1171 CH,Badhoevedorp
Primera boekhandel De Gele Klap,https://libris.nl/boekhandel-de-gele-klap/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9781 AA,Bedum
Van den Heuvel Boek en Kantoor,https://libris.nl/vdhboekenkantoor/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5741 CP,Beek en Donk
Het Logboek,https://libris.nl/hetlogboek/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9411 KL,Beilen
Boekhandel Thomas,https://libris.nl/thomas/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1861 GA,Bergen
Boekhandel Quist,https://libris.nl/quistboeken/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4611 NP,Bergen op Zoom
Kantoorboekhandel Van Atten (Berkel en Rodenrijs),https://libris.nl/vanattenboek/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2651 CE,Berkel en Rodenrijs
Boek- en Kantoorboekhandel Mieke Wijgergangs,https://libris.nl/miekewijgergangs/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5258 AX,Berlicum
Blaricumsche Boekhandel,https://libris.nl/blaricumscheboekhandel/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1261 AW,Blaricum
Libris Buitelaar Breda,https://libris.nl/librisbuitelaar/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4811 XL,Breda
Relay Breda,https://libris.nl/relay/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4811 BN,Breda
Van Kemenade & Hollaers (Ginnekenweg),https://libris.nl/vankemenade-hollaers/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4818 JG,Breda
Boekhandel Breskens,https://libris.nl/boekhandelbreskens/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4511 AP,Breskens
Boek en Kantoor Marinus van Kralingen,https://libris.nl/vankralingen/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3621 AR,Breukelen
Boekhandel Bosman Brummen - Primera XL,https://libris.nl/boekhandel-xl-brummen/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6971 AB,Brummen
Van Ravenswaay books & more,https://libris.nl/ravenswaay/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3981 EP,Bunnik
Boekhandel Los,https://libris.nl/los/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1404 CM,Bussum
Boekhandel Derde Druk,https://libris.nl/derdedruk/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2903 AD,Capelle aan den IJssel
Kantoorboekhandel Laan,https://libris.nl/laan/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1901 EP,Castricum
Boekhandel Tomey,https://libris.nl/boekhandeltomey/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4101 BX,Culemborg
Kantoor & Boekhandel KEES (Mereveldplein),https://libris.nl/visscher/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3454 CK,De Meern
MultiMedia Shop,https://libris.nl/multimedia-shop/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7701 GL,Dedemsvaart
Boekhandel Kempers,https://libris.nl/boekhandelkempers/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2624 ET,Delft
Adr. Heinen,https://www.heinen.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5211 KD,Den Bosch
Couvée-Benoordenhaeghe Boek & Kantoor,https://libris.nl/boekhandel-denhaag/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2596 ES,Den Haag
De Vries Van Stockum (Den Haag),https://libris.nl/devriesvanstockum-boeken/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2511 BS,Den Haag
Relay Den Haag,https://libris.nl/relay/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2592 AA,Den Haag
Boekhandel Praamstra,https://libris.nl/boekhandelpraamstra/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7411 KG,Deventer
Boekhandel Didam,https://libris.nl/boekhandeldidam/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6942 BD,Didam
Boek en Buro Nieuwenhuis,https://libris.nl/boek-en-buro/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6981 CN,Doesburg
Raadgeep & Berrevoets,https://libris.nl/raadgeepenberrevoets/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7001 AH,Doetinchem
Van der Velde Boeken Dokkum,https://www.vanderveldeboeken.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9101 KH,Dokkum
Boekhandel All you can give,https://libris.nl/allyoucangive/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6865 GC,Doorwerth
Vos & Van der Leer (Van Eesterenplein),https://libris.nl/vos-vanderleer/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3315 KV,Dordrecht
Vos & Van der Leer (Visstraat),https://libris.nl/vos-vanderleer/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3311 KX,Dordrecht
Van der Velde Boeken Drachten,https://www.vanderveldeboeken.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9203 CZ,Drachten
Boekhandel Jacques Baas,https://libris.nl/boekhandeljacquesbaas/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3971 GN,Driebergen-Rijsenburg
Boek- en Kantoorvakhandel Sikkers,https://libris.nl/sikkers/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5151 BP,Drunen
Boekwinkel 't Pakhuys,https://libris.nl/pakhuysboeken/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1135 AP,Edam
Boek en Buro Ede,https://libris.nl/boek-en-buro/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6711 AM,Ede
Boekhandel Hendriks,https://libris.nl/boekhandelhendriks/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6961 CW,Eerbeek
Boekhandel Dekker & Dekker,https://libris.nl/boekhandeldekker/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1931 AK,Egmond aan Zee
Boekhandel Gellekink,https://libris.nl/gellekink/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7151 AG,Eibergen
Boekhandel Van Grinsven (Eindhoven),https://libris.nl/vangrinsven/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5643 AS,Eindhoven
Boekhandel Van Piere,https://www.vanpiere.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5611 AM,Eindhoven
Relay Eindhoven Airport,https://libris.nl/relay/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5657 EA,Eindhoven
Elburger Boekhandel,https://libris.nl/elburgerboekhandel/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8081 ER,Elburg
Boekhandel Vermeer,https://libris.nl/boekhandelvermeer/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7811 AL,Emmen
Boekwinkel De Grote Beer,https://libris.nl/boekwinkeldegrotebeer/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8801 LV,Franeker
Boekhandel Van Grinsven (Geldrop),https://libris.nl/vangrinsven/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5664 HE,Geldrop
Paard van Troje Gent,https://libris.nl/gent-paardvantroje/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9000,Gent
Miek-Kado Boek-Kadoshop,https://libris.nl/miek-kado/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3381 AH,Giessenburg
De Koperen Tuin,https://libris.nl/koperentuin/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4461 KA,Goes
Het Paard van Troje,https://libris.nl/paardvantroje/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4461 JP,Goes
Blz. Boekhandel Buitelaar,https://libris.nl/buitelaar/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5051 NP,Goirle
Boekhandel Struik,https://libris.nl/boekhandelstruik/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7471 BL,Goor
De Boekenkist,https://libris.nl/de-boekenkist/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4201 KA,Gorinchem
Planteyn Boeken,https://libris.nl/planteyn/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8401 DE,Gorredijk
Primera Boekhandel Beren,https://libris.nl/boekhandel-beren/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9714 DW,Groningen
Primera Boekhandel Paddepoel,https://libris.nl/boekhandelpaddepoel/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9742 AK,Groningen
Van der Velde Boeken Groningen A-kerkhof,https://www.vanderveldeboeken.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9712 BC,Groningen
Van der Velde Boeken Groningen Grote Markt,https://www.vanderveldeboeken.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9712 HV,Groningen
Primera Boekhandel Grootegast,https://libris.nl/boekhandelgrootegast/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9861 AK,Grootegast
Boek en Buro Haaksbergen,https://libris.nl/boek-en-buro/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7481 HX,Haaksbergen
De Vries Van Stockum (Haarlem),https://libris.nl/devriesvanstockum-boeken/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2011 GK,Haarlem
Kennemer Boekhandel,https://libris.nl/kennemerboekhandel/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2023 CA,Haarlem
Boekhandel Heijink,https://libris.nl/boekhandelheijink/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7772 AE,Hardenberg
Boomker Boeken,https://libris.nl/boomker/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9751 AM,Haren
Van der Velde Boeken Harlingen,https://www.vanderveldeboeken.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8861 BM,Harlingen
Boekhandel Blokker,https://libris.nl/blokker/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2101 JP,Heemstede
Boekhandel Binnert Overdiep,https://www.binnertoverdiep.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8442 BS,Heerenveen
Boekhandel Dominicanen Heerlen,https://www.boekhandeldominicanen.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6411 JK,Heerlen
Boekhandel Heesch,https://libris.nl/boekhandelheesch/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5384 AN,Heesch
Boek en Kantoor De Ganzenveer,https://libris.nl/ganzenveer/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5701 PZ,Helmond
Kantoorboekhandel Peter Swaanen,https://libris.nl/peterswaanen/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5081 CL,Hilvarenbeek
Boekhandel Voorhoeve,https://libris.nl/voorhoeve/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1211 CR,Hilversum
Boekhandel Hoevelaken,https://libris.nl/boekhandelhoevelaken/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3871 AM,Hoevelaken
Boekhandel Stevens,https://libris.nl/stevens/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2132 CM,Hoofddorp
Pet Boekverkopers,https://libris.nl/pet-boekverkopers/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7901 JV,Hoogeveen
